lex,default
τελέω,"terminar, acabar, completar, pagar"
τελειόω,"perfeccionar, completar"
τελευτάω,"morir, terminar"
τελώνης,cobrador de impuestos
τεσσεράκοντα,cuarenta
τηρέω,"guardar, observar"
τιμάω,"honrar, valorar con precio"
τιμή,"precio, honor"
τοιοῦτος,"tal, similar, como"
τολμάω,"atrever, perdurar, audaz"
τοσοῦτος,"tan grande, tanto"
τράπεζα,mesa para comida o negocio
τρέχω,"correr, ejercitarme"
τρίς,tres veces
τρίτος,tercero
τρεῖς,tres
τριάκοντα,treinta
τροφή,"comida, alimento"
τρόπος,"modo, manera, caracter"
τυγχάνω,"obtener, pasar, tal vez, quizás"
τυπικώς,"modelo, ejemplo, tipo"
τυφλός,ciego
τόπος,lugar
τότε,"entonces, luego"
τύπος,"modelo, ejemplo, tipo"
τύπτω,"golpear, maltratar, herir, castigar"
τὶς,"cualquiera, alguien"
υἱός,"hijo, descendiente"
φέρω,"cargar, llevar, traer, conducir"
φίλος,"amistoso, un amigo"
φαίνω,"brillar, aparecer, parecer"
φανερός,"aparente, claro, visible, manifiesto, evidente"
φανερόω,"dar a conocer, revelar, mostrar"
φείδομαι,"perdonar, abstenerse"
φεύγω,"escapar, huir, rehuir"
φημί,decir
φιάλη,copa
φιλέω,"amar, querer; complacerse en"
φοβέω,"temer, estar aterrorizado"
φονεύω,"mater, asesinar"
φρονέω,"pensar, juzgar, observar"
φρόνιμος,"inteligente, prudente"
φυλάσσω,"mantener, proteger, observar"
φυλή,"tribu, raza"
φυλακή,"vigilante, guardia, prisión, encarcelamiento"
φυτεύω,"plantar, sembrar"
φωνέω,"gritar, llamar, convocar"
φωνή,"sonido, ruido, voz"
φωτίζω,"iluminar, traer luz, alumbrar"
φόβος,"miedo, terror, reverencia"
φύσις,naturaleza
φῶς,luz
χάρις,"gracia, favor, bondad"
χάρισμα,favor inmerecido
χίλιοι,mil
χαίρω,"alegrarse, estoy contento"
χαρά,"gozo, alegría"
χαρίζομαι,"mostrar favor, perdonar"
χείρ,mano
χείρων,peor
χιλίαρχος,tribuna militar
χιλιάς,mil
χιτών,"túnica, prenda, ropa interior"
χορτάζω,"alimentar, dar de comer, satisfacer"
χοῖρος,"cerdo, puerco"
χράομαι,"usar, valerse de, tratar con"
χρεία,"escasez, falta, necesidad, negocio"
χρηστότης,"bondad, benignidad, misericordia"
χρυσίον,ornamento dorado
χρυσοῦς,"de oro, dorado"
χρόνος,"tiempo, tiempo particular, temporada"
χωλός,"cojo, paralítico"
χωρέω,hacer lugar para
χωρίζω,"separar, salir, partir"
χωρίον,"terreno, campo; lugar"
χωρίς,"aparte de, sin"
χόρτος,pasto
χώρα,"región, tierra, campos"
χῆρος,viuda
ψευδοπροφήτης,falso profeta
ψεύδομαι,mentir
ψεύστης,mentiroso
ψεῦδος,mentira
ψυχή,"alma, vida, ser, persona"
ἀγάπη,amor
ἀγαθός,bueno
ἀγαλλιάω,"exultar, regocijarse"
ἀγαπάω,amar
ἀγαπητός,"amado, que es amado"
ἀγγέλλω,"anunciar, reportar"
ἀγνοέω,"no saber, no conocer"
ἀγορά,"plaza, mercado"
ἀγοράζω,comprar
ἀγρός,"campo, tierra, tierra no cultvada, descampado"
ἀδελφή,hermana
ἀδελφός,hermano
ἀδικέω,"dañar, perjudicar, hacer injusticia"
ἀδικία,"injusticia, impiedad"
ἀδύνατος,"imposible, incapaz"
ἀθετέω,rechazar
ἀκάθαρτος,"sucio, impuro"
ἀκαθαρσία,"impureza, suciedad"
ἀκοή,"escuchar, poder escuchar, oído"
ἀκολουθέω,"acompañar, atender, seguir"
ἀκούω,"escuchar, oír"
ἀκροβυστία,prepucio
ἀλέκτωρ,gallo
ἀλήθεια,verdad
ἀληθής,verdadero
ἀληθινός,"verdadero, genuino, real"
ἀληθῶς,"verdaderamente, ciertamente, en realidad"
ἀλλά,"pero, excepto"
ἀλλήλων,"unos a otros, mutuamente, entre si"
ἀλλότριος,"ajeno, de otro, extranjero"
