strong	domain_type	domain	label	count	share
G0324	sdbg	034007	Welcome, Receive	1	0.500
G0325	sdbg	057008	Give	1	1.000
G0326	sdbg	023007	Live, Die	1	0.500
G0327	sdbg	027004	Try To Learn	3	1.000
G0328	sdbg	027006	Be Ready To Learn, Pay Attention	1	1.000
G0329	sdbg	068001	Begin, Start	1	1.000
G0330	sdbg	013001	State	1	1.000
G0331	sdbg	033055	Bless, Curse	6	1.000
G0332	sdbg	033055	Bless, Curse	4	1.000
G0333	sdbg	024001	See	1	0.500
G0334	sdbg	053002	Offering, Sacrifice	1	1.000
G0335	sdbg	066	Proper, Improper	1	1.000
G0336	sdbg	020004	Kill	1	1.000
G0337	sdbg	020004	Kill	22	0.917
G0338	sdbg	088038	Sin, Wrongdoing, Guilt	2	1.000
G0339	sdbg	017002	Sit	2	1.000
G0340	sdbg	013002	Change of State	1	1.000
G0341	sdbg	058011	New, Old [primarily non-temporal]	2	0.667
G0342	sdbg	058011	New, Old [primarily non-temporal]	2	1.000
G0343	sdbg	079025	Covered Over	2	1.000
G0344	sdbg	015007	Return	4	1.000
G0345	sdbg	017006	Recline [to eat]	11	0.786
G0345	sdbg	023001	Eat, Drink	3	0.214
G0346	sdbg	063002	Unite	2	1.000
G0347	sdbg	017006	Recline [to eat]	4	0.800
G0349	sdbg	033006	Speak, Talk	5	1.000
G0350	sdbg	056004	Judicial Hearing, Inquiry	8	0.364
G0350	sdbg	030007	To Distinguish, To Evaluate, To Judge	7	0.318
G0350	sdbg	027004	Try To Learn	4	0.182
G0350	sdbg	033045	Criticize	3	0.136
G0351	sdbg	056004	Judicial Hearing, Inquiry	1	1.000
G0352	sdbg	017008	Bend Over, Straighten Up	4	1.000
G0353	sdbg	015024	Carry, Bear	9	0.692
G0353	sdbg	015009	Come/Go Onto	2	0.154
G0353	sdbg	015023	Lead, Bring, Take	2	0.154
G0354	sdbg	015010	Come/Go Up, Ascend	1	1.000
G0355	sdbg	020003	Destroy	2	1.000
G0356	sdbg	089005	Relations Involving Correspondences [Isomorphisms]	1	1.000
G0357	sdbg	030001	To Think, Thought	1	1.000
G0358	sdbg	005002	Condiments	1	1.000
G0359	sdbg	023007	Live, Die	1	1.000
G0360	sdbg	015007	Return	1	0.500
G0361	sdbg	088038	Sin, Wrongdoing, Guilt	1	1.000
