# Direction verdicts for hierarchy_dag.tsv edges -- held-out weighted asymmetry
# (WeedsPrec + invCL), majority verdict across 5 TEST-book splits (seeds 13,17,23,29,31), never used to infer these edges. See
# direction_yardstick.py and internal-docs/phase-c-instrument-calibration-plan.md.
broader_strong	narrower_strong	source	verdict	n_confirmed	n_contradicted	n_undetermined	n_seeds
H3519	H1004	apposition	CONTRADICTED	0	3	2	5
H3519	H3605	apposition	CONTRADICTED	0	5	0	5
H3519	H3627	apposition	UNDETERMINED	0	1	4	5
H3532	H1121	apposition	CONTRADICTED	0	3	2	5
H3532	H8141	apposition	UNDETERMINED	0	1	4	5
H3548	H0376	apposition	CONTRADICTED	0	5	0	5
H3548	H0802	apposition	UNDETERMINED	0	2	3	5
H3548	H1121	apposition	CONTRADICTED	0	5	0	5
H3548	H3605	apposition	CONTRADICTED	0	5	0	5
H3556	H3605	apposition	UNDETERMINED	0	2	3	5
H3556	H6635	apposition	UNDETERMINED	0	2	3	5
H3556	H8064	apposition	UNDETERMINED	0	0	5	5
H3563	H2534	apposition	CONTRADICTED	0	4	1	5
H3610	H8162	apposition	UNDETERMINED	0	0	5	5
H3618	H0802	apposition	UNDETERMINED	0	2	3	5
H3627	H0376	apposition	CONTRADICTED	0	4	1	5
H3627	H0430	apposition	CONTRADICTED	0	3	2	5
H3627	H1004	apposition	CONTRADICTED	0	5	0	5
H3669	H0776	apposition	CONTRADICTED	0	4	1	5
H3669	H3427	apposition	CONTRADICTED	1	3	1	5
H3669	H4428	apposition	CONTRADICTED	0	4	1	5
H3701	H0430	apposition	CONTRADICTED	0	3	2	5
H3701	H1004	apposition	CONTRADICTED	0	3	2	5
H3778	H1471	apposition	UNDETERMINED	0	0	5	5
H3824	H0001	apposition	UNDETERMINED	0	2	3	5
H3851	H0068	apposition	UNDETERMINED	0	0	5	5
H3851	H1259	apposition	UNDETERMINED	0	0	5	5
H3871	H1285	apposition	UNDETERMINED	0	1	4	5
H3878	H0376	apposition	CONTRADICTED	0	5	0	5
H3878	H0802	apposition	CONTRADICTED	0	3	2	5
H3878	H1004	apposition	CONTRADICTED	0	5	0	5
H3878	H1121	apposition	CONTRADICTED	0	5	0	5
H3878	H1323	apposition	UNDETERMINED	0	2	3	5
H3878	H3548	apposition	CONTRADICTED	0	3	2	5
H3878	H3605	apposition	CONTRADICTED	0	5	0	5
H3882	H5175	apposition	UNDETERMINED	0	0	5	5
H3914	H4174	apposition	UNDETERMINED	0	0	5	5
H3914	H4639	apposition	UNDETERMINED	0	0	5	5
H3974	H1419	apposition	UNDETERMINED	0	0	5	5
H4033	H0776	apposition	UNDETERMINED	0	1	4	5
H4033	H3605	apposition	UNDETERMINED	0	0	5	5
H4057	H0776	apposition	CONTRADICTED	0	4	1	5
H4057	H3605	apposition	CONTRADICTED	0	5	0	5
H4093	H0376	apposition	UNDETERMINED	0	0	5	5
H4150	H0376	apposition	CONTRADICTED	0	3	2	5
H4150	H8034	apposition	UNDETERMINED	2	0	3	5
H4194	H1121	apposition	CONTRADICTED	0	5	0	5
H4194	H5650	apposition	UNDETERMINED	0	1	4	5
H4196	H0430	apposition	CONTRADICTED	0	5	0	5
H4196	H3027	apposition	UNDETERMINED	0	1	4	5
H4210	H7892	apposition	UNDETERMINED	0	0	5	5
H4268	H0430	apposition	UNDETERMINED	0	0	5	5
H4275	H2506	apposition	UNDETERMINED	0	0	5	5
H4283	H3117	apposition	UNDETERMINED	0	0	5	5
H4294	H0001	apposition	CONTRADICTED	0	4	1	5
H4294	H1121	apposition	CONTRADICTED	0	4	1	5
H4294	H7626	apposition	UNDETERMINED	0	2	3	5
H4334	H4467	apposition	UNDETERMINED	0	0	5	5
H4334	H5892	apposition	UNDETERMINED	0	0	5	5
H4407	H5892	apposition	UNDETERMINED	0	1	4	5
H4421	H2428	apposition	UNDETERMINED	1	0	4	5
H4428	H1121	apposition	CONTRADICTED	0	4	1	5
H4437	H4428	apposition	UNDETERMINED	0	2	3	5
H4437	H6346	apposition	UNDETERMINED	0	0	5	5
H4438	H4428	apposition	CONTRADICTED	0	3	2	5
H4455	H3499	apposition	UNDETERMINED	0	0	5	5
H4581	H5869	apposition	UNDETERMINED	0	0	5	5
H4581	H8597	apposition	UNDETERMINED	0	0	5	5
H4583	H8064	apposition	UNDETERMINED	0	0	5	5
H4682	H3899	apposition	UNDETERMINED	0	2	3	5
H4682	H6040	apposition	UNDETERMINED	0	0	5	5
H4687	H0113	apposition	UNDETERMINED	0	0	5	5
H4687	H0430	apposition	CONTRADICTED	0	5	0	5
H4687	H1121	apposition	CONTRADICTED	0	5	0	5
H4720	H0430	apposition	CONTRADICTED	0	3	2	5
H4720	H5315	apposition	UNDETERMINED	0	1	4	5
H4720	H5797	apposition	UNDETERMINED	0	0	5	5
H4720	H5869	apposition	UNDETERMINED	0	0	5	5
H4725	H0776	apposition	CONTRADICTED	0	5	0	5
H4725	H2022	apposition	UNDETERMINED	1	1	3	5
H4725	H3027	apposition	UNDETERMINED	0	1	4	5
H4725	H8064	apposition	UNDETERMINED	0	0	5	5
H4735	H0120	apposition	UNDETERMINED	0	1	4	5
H4735	H2543	apposition	UNDETERMINED	0	1	4	5
H4735	H5315	apposition	UNDETERMINED	0	2	3	5
H4735	H6629	apposition	CONTRADICTED	0	3	2	5
H4756	H4428	apposition	UNDETERMINED	0	0	5	5
H4794	H1121	apposition	UNDETERMINED	0	0	5	5
H4818	H0113	apposition	UNDETERMINED	0	1	4	5
H4818	H1004	apposition	UNDETERMINED	0	2	3	5
H4854	H1121	apposition	CONTRADICTED	0	5	0	5
H4854	H1323	apposition	UNDETERMINED	0	2	3	5
H4864	H0430	apposition	UNDETERMINED	0	1	4	5
H4864	H5650	apposition	UNDETERMINED	0	0	5	5
H4885	H7151	apposition	UNDETERMINED	0	0	5	5
H4899	H2233	apposition	UNDETERMINED	0	0	5	5
H4908	H0168	apposition	CONTRADICTED	0	4	1	5
H4908	H3605	apposition	CONTRADICTED	0	5	0	5
H4908	H3627	apposition	UNDETERMINED	0	1	4	5
H4931	H0430	apposition	CONTRADICTED	0	5	0	5
H4940	H1121	apposition	CONTRADICTED	0	5	0	5
H4940	H3878	apposition	CONTRADICTED	0	4	1	5
H5002	H0430	apposition	UNDETERMINED	0	0	5	5
H5002	H6635	apposition	UNDETERMINED	0	0	5	5
H5016	H5030	apposition	UNDETERMINED	0	0	5	5
H5030	H3820	apposition	UNDETERMINED	0	0	5	5
H5031	H0802	apposition	UNDETERMINED	0	0	5	5
H5104	H0776	apposition	CONTRADICTED	0	5	0	5
H5104	H3027	apposition	UNDETERMINED	0	0	5	5
H5104	H3605	apposition	CONTRADICTED	0	5	0	5
H5158	H5869	apposition	CONTRADICTED	0	4	1	5
H5159	H0251	apposition	UNDETERMINED	0	1	4	5
H5159	H2022	apposition	UNDETERMINED	0	2	3	5
H5257	H0776	apposition	UNDETERMINED	0	0	5	5
