# Edges enforce_acyclic() dropped (reversed/tied/unscored under the generality-
# ordering filter) -- direction shown is as originally proposed by apposition/
# distributional, NOT re-derived. Candidate pool for optional LLM adjudication,
# see adjudicate_direction_llm.py. Distinct from hierarchy_dag_flagged.tsv (edges
# that DID survive assembly but direction_yardstick.py's held-out check
# CONTRADICTED).
broader_strong	narrower_strong	sources
H7358	H3605	apposition:1
H7386	H1100	apposition:1
H7386	H1121	apposition:1
H7393	H5971	apposition:1
H7416	H0776	apposition:1
H7416	H1706	apposition:1
H7416	H2132	apposition:1
H7416	H8081	apposition:1
H7462	H1697	apposition:1
H7462	H3605	apposition:1
H7474	H3303	apposition:1
H7523	H5315	apposition:1
H7544	H6071	apposition:1
H7544	H7416	apposition:1
H7545	H4639	apposition:1
H7558	H4428	apposition:1
H7605	H0802	apposition:1
H7605	H1121	apposition:1
H7605	H1323	apposition:1
H7605	H3548	apposition:1
H7605	H3878	apposition:1
H7607	H0001	apposition:1
H7607	H0251	apposition:1
H7607	H0517	apposition:1
H7607	H1121	apposition:1
H7607	H1323	apposition:1
H7611	H3605	apposition:1
H7622	H1323	apposition:2
H7626	H2022	apposition:2
H7676	H3117	apposition:1
H7676	H6944	apposition:1
H7677	H2146	apposition:1
H7677	H4744	apposition:2
H7677	H6944	apposition:2
H7677	H8643	apposition:1
H7704	H1004	apposition:2
H7778	H0251	apposition:1
H7778	H0802	apposition:1
H7778	H1121	apposition:1
H7778	H1323	apposition:1
H7891	H0802	apposition:1
H7891	H1121	apposition:2
H7891	H1323	apposition:1
H7892	H0376	apposition:1
H7892	H0430	apposition:1
H8034	H0430	apposition:1
H8034	H2022	apposition:1
H8034	H3548	apposition:1
H8034	H7218	apposition:1
H8048	H0776	apposition:2
H8048	H5769	apposition:1
H8048	H6160	apposition:1
H8121	H3605	apposition:1
H8121	H6635	apposition:1
H8121	H8064	apposition:1
H8130	H1323	apposition:1
H8130	H6430	apposition:1
H8184	H0776	apposition:1
H8184	H1706	apposition:1
H8184	H2132	apposition:1
H8184	H8081	apposition:1
H8316	H0784	apposition:1
H8333	H4639	apposition:1
H8333	H5688	apposition:1
H8384	H0776	apposition:1
H8384	H1706	apposition:1
H8384	H2132	apposition:1
H8384	H8081	apposition:1
H8441	H0430	apposition:1
H8451	H0376	apposition:1
H8451	H0430	apposition:2
H8451	H5650	apposition:1
H8478	H0001	apposition:6
H8478	H1121	apposition:1
H8478	H3548	apposition:1
H8478	H3605	apposition:1
H8478	H4428	apposition:1
H8510	H8077	apposition:1
H8544	H2145	apposition:1
H8544	H5347	apposition:1
H8544	H8403	apposition:1
H8605	H1121	apposition:1
