# BHSA clause-level dependency (candidate #6, never built before 2026-08-15): dependent_ref depends on mother_ref via `rela`. Discourse structure, not a word-pair signal -- see build_hierarchy_relations.py.
dependent_ref	mother_ref	rela
Genesis 24:27	Genesis 24:27	Resu
Genesis 24:30	Genesis 24:30	Adju
Genesis 24:30	Genesis 24:30	Coor
Genesis 24:30	Genesis 24:30	Adju
Genesis 24:32	Genesis 24:32	Adju
Genesis 24:32	Genesis 24:32	Attr
Genesis 24:33	Genesis 24:33	Adju
Genesis 24:36	Genesis 24:36	RgRc
Genesis 24:37	Genesis 24:37	Adju
Genesis 24:37	Genesis 24:37	Attr
Genesis 24:40	Genesis 24:40	Attr
Genesis 24:42	Genesis 24:42	ReVo
Genesis 24:42	Genesis 24:42	Attr
Genesis 24:43	Genesis 24:43	Attr
Genesis 24:43	Genesis 24:43	Adju
Genesis 24:44	Genesis 24:43	Resu
Genesis 24:44	Genesis 24:44	Attr
Genesis 24:45	Genesis 24:45	Adju
Genesis 24:47	Genesis 24:47	Attr
Genesis 24:48	Genesis 24:48	Attr
Genesis 24:48	Genesis 24:48	Adju
Genesis 24:50	Genesis 24:50	Objc
Genesis 24:51	Genesis 24:51	Adju
Genesis 24:52	Genesis 24:52	Adju
Genesis 24:54	Genesis 24:54	Coor
Genesis 24:54	Genesis 24:54	Attr
Genesis 24:60	Genesis 24:60	Resu
Genesis 24:62	Genesis 24:62	Adju
Genesis 24:63	Genesis 24:63	Adju
Genesis 24:63	Genesis 24:63	Adju
Genesis 24:65	Genesis 24:65	Attr
Genesis 24:65	Genesis 24:65	Adju
Genesis 24:66	Genesis 24:66	Attr
Genesis 25:5	Genesis 25:5	RgRc
Genesis 25:6	Genesis 25:6	Attr
Genesis 25:6	Genesis 25:6	Adju
Genesis 25:7	Genesis 25:7	Attr
Genesis 25:7	Genesis 25:7	Coor
Genesis 25:9	Genesis 25:9	Attr
Genesis 25:10	Genesis 25:10	Attr
Genesis 25:10	Genesis 25:10	Resu
Genesis 25:12	Genesis 25:12	Attr
Genesis 25:16	Genesis 25:16	Resu
Genesis 25:17	Genesis 25:17	Coor
Genesis 25:18	Genesis 25:18	Attr
Genesis 25:18	Genesis 25:18	Adju
Genesis 25:20	Genesis 25:20	Adju
Genesis 25:22	Genesis 25:22	Adju
Genesis 25:24	Genesis 25:24	Adju
Genesis 25:26	Genesis 25:26	Adju
Genesis 25:27	Genesis 25:27	Attr
Genesis 25:27	Genesis 25:27	Attr
Genesis 25:32	Genesis 25:32	Adju
Genesis 26:1	Genesis 26:1	Attr
Genesis 26:2	Genesis 26:2	Attr
Genesis 26:3	Genesis 26:3	Attr
Genesis 26:7	Genesis 26:7	Adju
Genesis 26:11	Genesis 26:11	Adju
Genesis 26:11	Genesis 26:11	Subj
Genesis 26:15	Genesis 26:15	Attr
Genesis 26:15	Genesis 26:15	Resu
Genesis 26:15	Genesis 26:15	Coor
Genesis 26:18	Genesis 26:18	Attr
Genesis 26:18	Genesis 26:18	Coor
Genesis 26:18	Genesis 26:18	Attr
Genesis 26:20	Genesis 26:20	Adju
Genesis 26:28	Genesis 26:28	Objc
Genesis 26:29	Genesis 26:29	Adju
Genesis 26:29	Genesis 26:29	Coor
Genesis 26:31	Genesis 26:31	Adju
Genesis 26:32	Genesis 26:32	Attr
Genesis 27:1	Genesis 27:1	Adju
Genesis 27:4	Genesis 27:4	Adju
Genesis 27:5	Genesis 27:5	Adju
Genesis 27:5	Genesis 27:5	Adju
Genesis 27:5	Genesis 27:5	Adju
Genesis 27:6	Genesis 27:6	Adju
Genesis 27:6	Genesis 27:6	Attr
Genesis 27:6	Genesis 27:6	Adju
Genesis 27:8	Genesis 27:8	Adju
Genesis 27:9	Genesis 27:9	Adju
Genesis 27:14	Genesis 27:14	Adju
Genesis 27:15	Genesis 27:15	Attr
Genesis 27:17	Genesis 27:17	Attr
Genesis 27:19	Genesis 27:19	Adju
Genesis 27:20	Genesis 27:20	Adju
Genesis 27:27	Genesis 27:27	Attr
Genesis 27:30	Genesis 27:30	Adju
Genesis 27:30	Genesis 27:30	Adju
Genesis 27:33	Genesis 27:33	Attr
Genesis 27:33	Genesis 27:33	Coor
Genesis 27:33	Genesis 27:33	Coor
Genesis 27:34	Genesis 27:34	Resu
Genesis 27:38	Genesis 27:38	Resu
Genesis 27:39	Genesis 27:39	Coor
Genesis 27:40	Genesis 27:40	Adju
Genesis 27:41	Genesis 27:41	Attr
Genesis 27:42	Genesis 27:42	Adju
Genesis 27:44	Genesis 27:44	Adju
