# Directional BHSA apposition: head -> appositive (candidate IS-A / narrowing evidence). See build_hierarchy_relations.py.
head_strong	appositive_strong	count
H6440	H2740	1
H6440	H0639	1
H0060	H4553	1
H3173	H4553	1
H0969	H4014	1
H4725	H0776	1
H3605	H2233	1
H0251	H2233	1
H1530	H4583	1
H1530	H8565	1
H0776	H3564	1
H0776	H1270	1
H2428	H3605	1
H2428	H0214	1
H4057	H4420	1
H1870	H6529	1
H1870	H4611	1
H8048	H8322	1
H8048	H5769	1
H3820	H8267	1
H3820	H5030	1
H5030	H8267	1
H5030	H3820	1
H2416	H6635	1
H3563	H2534	1
H3196	H2534	1
H3605	H0251	1
H5971	H0251	1
H8478	H3548	1
H5971	H7611	1
H5612	H4736	1
H5612	H2856	1
H5612	H1540	1
H3878	H3548	1
H0776	H4475	1
H0776	H3027	1
H0001	H7223	1
H1121	H8104	1
H1121	H5592	1
H1121	H5608	1
H8478	H1121	1
H0612	H1004	1
H1157	H3605	1
H1157	H7611	1
H0001	H8269	1
H6430	H7611	1
H6430	H0339	1
H4294	H4731	1
H4294	H8597	1
H5797	H4731	1
H5797	H8597	1
H7198	H7225	1
H7198	H1369	1
H3117	H6486	1
H5360	H1964	1
H0430	H6635	1
H8048	H6723	1
H8048	H6160	1
H3605	H1697	1
H7462	H3605	1
H7462	H1697	1
H1546	H4428	1
H1473	H1121	1
H1473	H5971	1
H2781	H4148	1
H2781	H4923	1
H1422	H4148	1
H1422	H4923	1
H6754	H8251	1
H8441	H8251	1
H1004	H4805	1
H1473	H7628	1
H1121	H7934	1
H1121	H1432	1
H1121	H1320	1
H5315	H6430	1
H8130	H1323	1
H8130	H6430	1
H0802	H7986	1
H3605	H6430	1
H5439	H1323	1
H5439	H6430	1
H1471	H4940	1
H1471	H0776	1
H2022	H4791	1
H6944	H4791	1
H0127	H0776	1
H0157	H3027	1
H0157	H1121	1
H4720	H1347	1
H4720	H5797	1
H4720	H4261	1
H4720	H5869	1
H4720	H4263	1
H4720	H5315	1
H4581	H4885	1
H4581	H8597	1
H4581	H4261	1
H4581	H5869	1
H4854	H1121	1
H4854	H1323	1
H5315	H1121	1
H2114	H6184	1
H2114	H1471	1
H6547	H1419	1
H2220	H2389	1
H2220	H7665	1
H6629	H4830	1
H2022	H3605	1
H7611	H3605	1
H3605	H2270	1
H1004	H2270	1
H7626	H2270	1
H5674	H3498	1
H8334	H6486	1
H3548	H4720	1
H3878	H1004	1
H3117	H1121	1
H0310	H5414	1
H0310	H3899	1
H0310	H4325	1
H0310	H6785	1
H0310	H6593	1
H0310	H8081	1
H0310	H8250	1
H0157	H5414	1
H0157	H3899	1
H0157	H4325	1
H0157	H6785	1
H0157	H6593	1
H0157	H8081	1
H0157	H8250	1
H3218	H2428	1
H3218	H1419	1
H2625	H2428	1
H2625	H1419	1
