# BDB (public domain, 1906) etymological root-groups, via OpenScriptures/HebrewLexicon (CC-BY-4.0, pinned 21c9add1). Words sharing root_id are etymologically related — validated at 50.6% SDBH-domain agreement (2026-08), see build_bdb_roots.py and domain-replacement-roadmap.md. NOT Louw-Nida/SDBH derived — independent free source.
root_id	strong	xlit	gloss	pos
bqu	H1063	bikkûrâ	first ripe fig	N
bqu	H1073	bikkûrâ	first ripe fig	N
bqu	H1061	bikkûrîm	first-fruits	N
bqu	H1067	bĕkîrâ	first-born	N
bqu	H1070	beker	young camel	N
bqu	H1062	bĕkōrâ	right of first-born	N
bqu	H1072	bikrâ	young camel	N
bre	H1082	bālag	gleam	V
bre	H4010	mablîgît	smiling	N
brj	H1089	bālah	trouble	V
brj	H1091	ballāhâ	terror	N
brk	H1086	bālâ	become old and worn out	V
brk	H1077	bal	not	D
brk	H1087	bāleh	worn out	A
brk	H1094	bĕlôʾ	worn out things	N
brk	H1097	bĕlî	wearing out	D
brk	H1099	bĕlîmâ	nothingness	N
brk	H1100	bĕlîyaʿal	worthlessness	N
brk	H1107	bilʿădê	not unto	R
brk	H1115	biltî	failure	T
brk	H8399	tablît	destruction	N
brx	H1101	bālal	mingle	V
brx	H1098	bĕlîl	fodder	N
brx	H1101	bālal	to give provender	V
brx	H7642	šabbĕlûl	snail	N
brx	H8397	tebel	confusion	N
brx	H8400	tĕballul	confusion	N
bse	H1104	bālaʿ	swallow down	V
bse	H1105	belaʿ	swallowing	N
bse	H1109	bilʿām	Balaam	Np
bse	H1109	bilʿām	Bileam	Np
bss	H1121	bēn	son	N
bss	H1144	binyāmîn	Benjamin	Np
bss	H1323	bat	daughter	N
btg	H1129	bānâ	build	V
btg	H1140	binyâ	structure	N
btg	H1146	binyān	structure	N
btg	H4011	mibneh	structure	N
btg	H8403	tabnît	construction	N
btz	H1154	beser	unripe	N
btz	H1155	bōser	unripe	N
bun	H1166	bāʿal	marry	V
bun	H1078	bēl	Bel	Np
bun	H1168	baʿal	Baal	Np
bun	H1167	baʿal	owner	N
bun	H1172	baʿălâ	mistress	N
bvq	H1197	bāʿar	be brutish	V
bvq	H1165	bĕʿîr	beasts	N
bvq	H1198	baʿar	brutishness	N
bvr	H1197	bāʿar	burn	V
bvr	H1200	bĕʿērâ	burning	N
bvx	H1204	bāʿat	fall upon	V
bvx	H1161	biʿûtîm	terrors	N
bvx	H1205	bĕʿātâ	terror	N
bwj	H1214	bāṣaʿ	cut off	V
bwj	H1215	beṣaʿ	gain made by violence	N
bwk	H1206	bōṣ	mire	N
bwk	H1207	biṣṣâ	swamp	N
bwm	H1216	bāṣēq	swell	V
bwm	H1217	bāṣēq	dough	N
bwr	H1219	bāṣar	cut off	V
bwr	H1208	bāṣôr	vintage	N
bwr	H1210	bāṣîr	vintage	N
bwr	H1220	beṣer	precious ore	N
bwr	H6869	baṣṣārâ	dearth	N
bwr	H1223	boṣrâ	enclosure	N
bwr	H1225	biṣṣārôn	stronghold	N
bwr	H1226	baṣṣōret	dearth	N
bwr	H4013	mibṣār	fortification	N
bxg	H1234	bāqaʿ	cleave	V
bxg	H1233	bĕqîaʿ	fissure	N
bxg	H1235	beqaʿ	half	N
bxg	H1237	biqʿâ	valley	N
bxi	H1238	bāqaq	empty	V
bxi	H1228	baqbuq	flask	N
bxk	H1239	bāqar	inquire	V
bxk	H0951	bôqēr	herdsman	N
bxk	H1241	bāqār	cattle	N
bxk	H1242	bōqer	morning	N
bxk	H1243	baqqārâ	a seeking	N
bxk	H1244	biqqōret	punishment	N
bxp	H1245	bāqaš	seek	V
bxp	H1246	baqqāšâ	request	N
bxx	H1254	bārāʾ	be fat	V
bxx	H1274	bĕrî	fat	A
bxx	H1277	bārîʾ	fat	A
bxy	H1254	bārāʾ	shape	V
bxy	H1278	bĕrîʾâ	a creation	N
byg	H1258	bārad	hail	V
byg	H1259	bārād	hail	N
byg	H1261	bārōd	spotted	A
byh	H1262	bārâ	eat	V
byh	H1267	bārût	food	N
byh	H1279	biryâ	food	N
bys	H1272	bāraḥ	go through	V
bys	H1280	bĕrîaḥ	bar	N
bys	H1281	bārîaḥ	fleeing	A
bys	H4015	mibrāḥ	flight	N
bzi	H1288	bārak	kneel	V
bzi	H1290	berek	knee	N
bzi	H1295	bĕrēkâ	pool	N
bzi	H1293	bĕrākâ	blessing	N
bzr	H1299	bāraq	flash	V
bzr	H1300	bāraq	flash	V
bzr	H1300	bārāq	lightning	N
bzr	H1301	bārāq	Barak	Np
bzr	H1303	barqānîm	briers	N
bzr	H1304	bārĕqat	gem	N
bzr	H1304	bāreqet	emerald	N
bzz	H1305	bārar	purify	V
bzz	H1249	bar	pure	A
bzz	H1250	bar	grain	N
bzz	H1250	bār	field	N
bzz	H1252	bōr	cleanness	N
bzz	H1253	bōr	lye	N
bzz	H1257	barburîm	fowl	N
bzz	H1287	bōrît	lye	N
caa	H1265	bĕrôš	cypress	N
caa	H1266	bĕrôt	cypress	N
cag	H1310	bāšal	boil	V
cag	H1311	bāšēl	cooked	A
cag	H4018	mĕbaššĕlôt	cooking-places	N
cak	H1314	beśem	spice	N
cak	H1313	bōśem	spice	N
caq	H1319	bāśar	bear tidings	V
caq	H1320	bāśār	flesh	N
caq	H1309	bĕśōrâ	tidings	N
cbe	H1330	bĕtûlâ	virgin	N
cbe	H1331	bĕtûlîm	virginity	N
cbi	H1334	bātar	cut in two	V
