hebrew_strong	greek_strong	count
H1931	G2962	48
H1931	G2316	36
H1932	G1510	4
H1934	G1510	5
H1934	G1093	4
H1934	G0932	4
H1934	G2334	4
H1935	G1391	4
H1945	G2962	4
H1945	G3004	3
H1952	G1510	3
H1954	G5617	6
H1961	G1510	730
H1961	G1096	710
H1961	G2962	60
H1961	G2316	49
H1964	G2962	9
H1964	G3485	6
H1964	G3624	6
H1964	G0040	5
H1968	G5207	3
H1968	G70753	3
H1969	G1637	5
H1969	G5067	4
H1969	G1510	3
H1980	G4198	359
H1980	G0565	45
H1980	G2036	28
H1980	G1093	27
H1984	G0134	27
H1984	G2962	13
H1984	G1843	6
H1984	G2316	3
H1992	G1510	53
H1992	G2250	21
H1992	G2962	15
H1992	G4160	14
H1995	G2479	6
H1995	G4128	4
H1995	G5456	4
H1995	G5495	3
H1996	G1136	4
H2000	G1839	4
H2001	G2036	5
H2001	G0935	4
H2001	G2453	3
H2001	G0833	3
H2005	G1510	55
H2005	G2036	38
H2005	G3708	37
H2005	G2962	36
H2006	G1798	3
H2007	G1510	5
H2008	G2962	4
H2008	G2316	3
H2015	G2690	8
H2015	G3328	4
H2015	G3344	4
H2015	G4762	4
H2022	G3735	161
H2022	G2962	15
H2022	G1510	12
H2022	G3956	12
H2023	G3735	5
H2026	G0615	32
H2026	G0337	8
H2026	G0080	6
H2026	G3956	5
H2028	G4967	4
H2029	G4815	17
H2029	G1064	9
H2029	G5207	4
H2030	G2192	5
H2040	G2679	7
H2040	G2962	4
H2043	G5207	4
H2060	G0938	3
H2061	G3074	3
H2062	G2446	3
H2063	G4160	24
H2063	G1510	24
H2063	G3551	21
H2063	G2962	20
H2066	G5207	3
H2074	G2194	20
H2074	G5207	5
H2076	G2380	27
H2076	G2316	9
H2076	G2962	7
H2076	G2378	6
H2077	G2378	45
H2077	G4992	10
H2077	G2250	6
H2077	G2380	5
H2088	G2250	83
H2088	G1510	35
H2088	G2962	32
H2088	G4487	30
H2091	G5553	52
H2091	G5552	41
H2091	G0694	15
H2091	G4134	12
H2100	G3192	10
H2100	G4511	5
H2101	G4511	3
H2114	G0245	7
H2114	G2962	3
H2114	G0599	3
H2114	G1135	3
H2132	G1636	7
H2132	G1637	3
H2138	G3956	3
H2139	G5207	4
H2141	G2513	3
H2142	G3415	40
H2142	G3403	30
H2142	G2962	7
H2142	G0363	5
H2145	G3956	14
H2145	G5207	7
H2145	G0730	3
H2145	G2338	3
H2148	G2197	22
H2148	G5207	4
H2154	G0458	5
H2154	G0763	3
H2161	G4160	4
H2166	G2540	3
H2167	G5567	3
H2167	G2316	3
H2167	G2962	3
H2170	G5552	3
H2174	G1080	4
H2181	G1608	16
H2181	G4204	12
H2181	G4203	5
H2181	G1093	3
H2186	G0683	3
H2191	G3398	3
H2199	G0994	12
H2199	G2896	9
H2199	G0310	5
H2199	G4982	3
H2201	G2906	3
H2204	G1095	6
H2205	G4245	32
H2205	G2474	9
H2205	G1087	7
H2205	G3956	6
H2212	G5553	3
H2213	G2945	4
H2216	G2216	8
H2216	G4528	5
H2219	G3039	5
H2219	G1289	4
H2219	G5561	4
H2220	G1023	20
H2220	G5308	4
H2220	G3173	3
H2220	G2900	3
H2224	G0393	5
H2226	G2196	6
H2226	G5207	4
H2232	G4687	16
H2232	G1093	3
H2232	G0290	3
H2233	G4690	50
H2233	G1510	7
H2233	G1093	7
H2233	G1325	6
H2236	G2945	5
H2236	G2379	4
H2236	G0129	3
H2236	G2409	3
H2240	G5207	4
H2244	G2928	7
H2250	G3468	3
H2256	G1093	4
H2256	G1510	4
H2256	G5604	4
H2256	G4979	3
H2266	G2087	3
H2275	G5207	10
H2275	G0935	6
H2275	G2094	4
H2275	G2962	3
H2280	G3688	6
H2282	G1859	23
H2282	G2250	5
H2282	G4634	5
H2287	G1858	3
H2296	G2224	4
H2296	G4024	4
H2308	G1510	4
H2308	G0620	4
H2308	G2962	3
H2315	G5009	11
H2315	G2846	3
H2319	G2537	11
H2319	G2962	4
H2320	G3376	73
H2320	G1442	10
H2320	G2250	10
H2320	G4413	9
H2340	G5478	9
H2341	G5207	3
H2342	G1510	3
H2342	G5605	3
H2344	G0285	4
H2346	G5038	28
H2346	G4172	8
H2346	G4439	6
H2346	G0935	3
H2347	G5339	6
H2347	G1653	4
H2347	G3788	3
H2351	G3925	12
H2351	G2962	6
H2351	G4172	6
H2351	G3598	6
H2365	G2036	4
H2370	G3708	6
H2370	G2334	4
H2372	G3708	5
H2373	G1023	4
H2374	G3708	6
H2377	G3706	8
H2388	G2902	29
H2388	G2729	28
H2388	G2480	10
H2388	G0407	8
H2389	G1510	5
H2389	G1023	4
H2389	G2900	3
H2389	G2478	3
H2396	G1478	28
H2396	G2036	10
H2396	G0935	9
H2396	G3004	7
H2398	G0264	69
H2398	G2474	11
H2398	G2962	8
H2398	G2316	7
H2399	G0266	7
