# source=MACULA Quotation and Speaker Data, (c) 2023 by Clear Bible, Inc, CC-BY-4.0, https://github.com/Clear-Bible/speaker-quotations/
# anchor=verse range (START/END VS → BBCCCVVV); consensus (Clear-Aligned-Projections)
speaker	alt_speaker	start_bbcccvvv	end_bbcccvvv	quote_type	delivery	divine
Jacob (Israel)		1047029	1047030	Normal		
Jacob (Israel)		1047031	1047031	Normal		
news giver to Joseph		1048001	1048001	Normal		
news giver to Jacob		1048002	1048002	Normal		
Jacob (Israel)		1048003	1048007	Normal		
Jacob (Israel)		1048008	1048008	Normal		
Jacob (Israel)		1048009	1048009	Normal		
Joseph		1048009	1048009	Normal		
Jacob (Israel)		1048011	1048011	Normal		
Jacob (Israel)		1048015	1048016	Normal		
Joseph		1048018	1048018	Normal		
Jacob (Israel)		1048019	1049027	Normal		
Jacob (Israel)		1049029	1049032	Normal		
Joseph		1050004	1050005	Normal		
Pharaoh (2nd)		1050006	1050006	Normal		
Canaanites		1050011	1050011	Normal		
Levi		1050015	1050018	Normal		
Joseph		1050019	1050021	Normal		
Joseph		1050024	1050025	Normal		
Pharaoh (3rd)		2001009	2001010	Normal		
Pharaoh (3rd)		2001016	2001016	Normal		
Pharaoh (3rd)		2001018	2001018	Normal		
Shiphrah (midwife)		2001019	2001019	Normal		
Pharaoh (3rd)		2001022	2001022	Normal	giving orders	
Pharaoh's daughter		2002006	2002006	Normal		
Miriam (young)		2002007	2002007	Normal		
Pharaoh's daughter		2002008	2002010	Normal		
Moses		2002013	2002013	Normal		
Moses		2002014	2002014	Normal	thinking	
man (Hebrew fighting)		2002014	2002014	Normal		
Jethro (Reuel), Moses' father-in-law		2002018	2002018	Normal		
Zipporah, Moses' wife		2002019	2002019	Normal		
Jethro (Reuel), Moses' father-in-law		2002020	2002020	Normal		
Moses		2002022	2002022	Normal		
Moses		2003003	2003003	Normal		
God		2003004	2003004	Normal		Y
Moses		2003004	2003004	Normal		
God		2003005	2003010	Normal		Y
Moses		2003011	2003011	Normal		
God		2003012	2003012	Normal		Y
Moses		2003013	2003013	Normal		
God		2003014	2003022	Normal		Y
Moses		2004001	2004001	Normal		
God		2004002	2004002	Normal		Y
Moses		2004002	2004002	Normal		
God		2004003	2004009	Normal		Y
Moses		2004010	2004010	Normal		
God		2004011	2004012	Normal		Y
Moses		2004013	2004013	Normal		
God		2004014	2004017	Normal		Y
Jethro (Reuel), Moses' father-in-law		2004018	2004018	Normal		
Moses		2004018	2004018	Normal		
God		2004019	2004019	Normal		Y
God		2004021	2004023	Normal		Y
Zipporah, Moses' wife		2004025	2004025	Normal		
narrator-GEN		2004026	2004026	Quotation		
God		2004027	2004027	Normal		Y
Aaron		2005001	2005001	Normal		
Pharaoh (3rd)		2005002	2005002	Normal		
Aaron		2005003	2005003	Normal		
Pharaoh (3rd)		2005004	2005005	Normal		
Pharaoh (3rd)		2005007	2005009	Normal		
slave drivers, Egyptian		2005010	2005011	Normal		
slave drivers, Egyptian		2005013	2005014	Normal		
Israelite foremen		2005015	2005016	Normal		
Pharaoh (3rd)		2005017	2005019	Normal		
Israelite foremen		2005021	2005021	Normal		
Moses		2005022	2005023	Normal		
God		2006001	2006008	Normal		Y
God		2006011	2006011	Normal		Y
Moses		2006012	2006012	Normal		
God		2006026	2006026	Normal		Y
God		2006029	2006029	Normal		Y
Moses		2006030	2006030	Normal		
God		2007001	2007005	Normal		Y
God		2007009	2007009	Normal		Y
God		2007014	2007019	Normal		Y
God		2008001	2008005	Normal		Y
Pharaoh (3rd)		2008008	2008008	Normal		
Moses		2008009	2008009	Normal		
Moses		2008010	2008011	Normal		
Pharaoh (3rd)		2008010	2008010	Normal		
God		2008016	2008016	Normal		Y
magicians		2008019	2008019	Normal		
God		2008020	2008023	Normal		Y
Pharaoh (3rd)		2008025	2008025	Normal		
Moses		2008026	2008027	Normal		
Pharaoh (3rd)		2008028	2008028	Normal		
Moses		2008029	2008029	Normal		
God		2009001	2009005	Normal		Y
God		2009008	2009009	Normal		Y
God		2009013	2009019	Normal		Y
God		2009022	2009022	Normal		Y
Pharaoh (3rd)		2009027	2009028	Normal		
Moses		2009029	2009030	Normal		
God		2010001	2010002	Normal		Y
Aaron		2010003	2010006	Normal		
Pharaoh's officials		2010007	2010007	Normal		
Pharaoh (3rd)		2010008	2010008	Normal		
Moses		2010009	2010009	Normal		
Pharaoh (3rd)		2010010	2010011	Normal		
God		2010012	2010012	Normal		Y
Pharaoh (3rd)		2010016	2010017	Normal		
God		2010021	2010021	Normal		Y
Pharaoh (3rd)		2010024	2010024	Normal		
Moses		2010025	2010026	Normal		
Pharaoh (3rd)		2010028	2010028	Normal		
Moses		2010029	2010029	Normal		
God		2011001	2011002	Normal		Y
Moses		2011004	2011008	Normal		
God		2011009	2011009	Normal		Y
God		2012002	2012020	Normal		Y
Moses		2012021	2012027	Normal		
Pharaoh (3rd)		2012031	2012032	Normal		
Egyptians		2012033	2012033	Normal	terrified	
God		2012043	2012049	Normal		Y
God		2013002	2013002	Normal		Y
Moses		2013003	2013016	Normal		
God		2013017	2013017	Normal		Y
Joseph		2013019	2013019	Quotation		
God		2014002	2014004	Normal		Y
Pharaoh (3rd)		2014005	2014005	Normal		
Israelites		2014011	2014012	Normal	terrified	
Moses		2014013	2014014	Normal		
God		2014015	2014018	Normal		Y
Egyptians		2014025	2014025	Normal	afraid	
God		2014026	2014026	Normal		Y
Moses		2015001	2015018	Normal	singing	
Miriam		2015021	2015021	Normal	singing	
Israelites		2015024	2015024	Normal	grumbling	
God		2015026	2015026	Normal		Y
Israelites		2016003	2016003	Normal	grumbling	
God		2016004	2016005	Normal		Y
Aaron		2016006	2016007	Normal		
Moses		2016008	2016009	Normal		
God		2016012	2016012	Normal		Y
Israelites		2016015	2016015	Normal	questioning	
Moses		2016015	2016016	Normal		
Moses		2016019	2016019	Normal		
Moses		2016023	2016023	Normal		
Moses		2016025	2016026	Normal		
God		2016028	2016029	Normal		Y
Moses		2016032	2016033	Normal		
Israelites		2017002	2017002	Normal	quarreling	
Moses		2017002	2017002	Normal		
Israelites		2017003	2017003	Normal	grumbling	
Moses		2017004	2017004	Normal		
God		2017005	2017006	Normal		Y
Israelites		2017007	2017007	Normal	quarreling	
Moses		2017009	2017009	Normal		
God		2017014	2017014	Normal		Y
Moses		2017016	2017016	Normal		
Moses		2018003	2018004	Normal		
Jethro (Reuel), Moses' father-in-law		2018006	2018006	Normal		
Jethro (Reuel), Moses' father-in-law		2018010	2018011	Normal		
Jethro (Reuel), Moses' father-in-law		2018014	2018014	Normal		
Moses		2018015	2018016	Normal		
Jethro (Reuel), Moses' father-in-law		2018017	2018023	Normal		
God		2019003	2019006	Normal		Y
Israelites		2019008	2019008	Normal		
God		2019009	2019013	Normal		Y
Moses		2019015	2019015	Normal		
God		2019021	2019022	Normal		Y
Moses		2019023	2019023	Normal		
God		2019024	2019024	Normal		Y
God		2020002	2020017	Normal		Y
Israelites		2020019	2020019	Normal	fearful	
Moses		2020020	2020020	Normal		
God		2020022	2024002	Normal		Y
Israelites		2024003	2024003	Normal		
Israelites		2024007	2024007	Normal		
Moses		2024008	2024008	Normal		
God		2024012	2024012	Normal		Y
Moses		2024014	2024014	Normal		
God		2025002	2030010	Implicit		Y
God		2030012	2030016	Implicit		Y
God		2030018	2030021	Implicit		Y
God		2030023	2030038	Implicit		Y
God		2031002	2031011	Implicit		Y
God		2031013	2031017	Implicit		Y
Israelites		2032001	2032001	Normal		
Aaron		2032002	2032002	Normal		
Israelites		2032004	2032004	Normal		
Aaron		2032005	2032005	Normal		
God		2032007	2032010	Normal		Y
Moses		2032011	2032013	Normal		
Joshua		2032017	2032017	Normal		
