# source=derived from resources/aligned_lex/arb.tsv + strongs_freq.tsv (roadmap R2: function-word stopwords); license=inherits aligned_lex
surface	codes	max_share
لِأَجْلِنَا	G4012,G5228,H1157	0.545
لِأَنَّ	G1063,H3588	0.655
لِأَنَّكَ	G3754,H3588	0.750
لِأَنَّكُمْ	G1063,G3754,H3588	0.323
لِأَنَّكِ	H0834,H3588	0.640
لِأَنَّنَا	G1063,G3754,H3588	0.450
لِأَنَّنِي	G1063,H3588	0.727
لِأَنَّهَا	G3754,H3588	0.699
لِأَنَّهُ	G1063,H3588	0.619
لِأَنَّهُمَا	H3588	0.812
لِأَنَّهُمْ	G1063,G3754,H3588	0.639
لِأَنِّي	G1063,H3588	0.675
لِأَنْ	G1063	0.689
لِئَلّا	G2443,G3361,G3379	0.541
لِئَلَّا	G2443,G3361,H3808,H6435	0.456
لِبَعْضٍ	G0240,G4314	0.463
لِذلِكَ	G1223,G1352,G1565	0.333
لِذَلِكَ	G1352,H3651,H5921	0.411
لِسَبَبِ	G1223	0.704
لِكَيْ	G2443,H4616	0.451
لِكَيْلَا	H1115,H3808,H4616	0.375
لِلَّذِي	G3588,H0834	0.524
لِلَّذِينَ	G3588	0.519
لِلْوَقْتِ	G1519,G1824,G2112	0.600
لِمَاذَا	G5101,H4069,H4100	0.389
لِمَنْ	G3588,G5101	0.173
لِهَذَا	G1223,G1519,H2088	0.315
لِيَ	G3427,H0413	0.419
لِيَتِمَّ	G2443,G3704	0.769
مَا	G3739,H0834	0.227
مَاذَا	G5101,H4100	0.500
مَتَى	G3752,G4219,H3588,H4970	0.299
مَرَّاتٍ	G2034,G5151	0.632
مَرَّةً	G0530,G3825	0.309
مَعًا	H3162	0.729
مَكَانَهُ	H8478	0.818
مَنِ	G3588,G3739,H4310	0.158
مَنْ	G5101,H4310	0.175
مَهْمَا	G3739,H4100	0.391
مُقَابِلَ	H4136,H5048,H5227,H5921	0.246
مُقَابِلِ	G0481,H5048,H5227	0.700
مُنْذُ	G0575	0.326
مِثْلَمَا	G2531,G5613	0.571
مِثْلِي	G5613,H3644	0.565
مِرَارًا	G4178	0.857
مِمَّا	G3588,G3739	0.189
مِمَّا	G2228,G3739,H0834	0.358
مِنَ	G1537,H4480	0.171
مِنَّا	G1537,G2257,G3844	0.273
مِنِّي	G0575,G3450,G3844	0.227
مِنَّا	G1537,G3844,G5259,H4480	0.296
مِنِّي	H4480	0.349
مِنْطَقَةِ	G3588	0.938
مِنْكَ	G4571,H4480	0.352
مِنْكُمْ	G1537,G5216	0.414
مِنْكِ	G1537,H4480	0.429
مِنْهَا	G1537,H4480	0.361
مِنْهُ	G0575,G0846,H4480	0.269
نَحْنُ	G2249,H0587	0.302
نَحْوَ	H0413	0.111
نَظَرِ	G1799,G3588,G3844	0.438
نَعَمْ	G3483	0.824
هكَذَا	G3779	0.769
هَؤُلَاءِ	G3778,H0428	0.668
هَذَا	G3778,H2088	0.354
هَذَانِ	G1417,G3778,H0428,H1931	0.368
هَذِهِ	H0428,H2063	0.288
هَكَذَا	G3779,H3541,H3651	0.537
هَلْ	G1487	0.104
هَهُنَا	G5602,H2088,H6311	0.378
هُمَا	G0846,H1992	0.333
هُمْ	G0846,H1992	0.362
هُنَا	G5602,H2008,H2088,H6311	0.328
هُنَاكَ	G1563,H8033	0.672
هُوَ	H1931	0.246
هِيَ	H1931	0.245
وَأَمَّا	G1161	0.850
وَأَمَّا	G1161	0.449
وَأَنَا	G2532,H0589,H0595	0.304
وَأَنَّهُ	G1161,G2532	0.900
وَأَنَّهُ	G2532,G3754,H3588	0.353
وَأَنْ	G2532	0.551
وَأَنْتَ	G2532,G4771,H0859	0.635
وَأَنْتُمْ	G2532,G5210,H0859	0.353
وَأَنْتِ	G2532,G4771,H0859	0.500
وَأَيْضاً	G2532,G3825	0.857
وَأَيْضًا	H1571	0.657
وَأَيْنَ	G4226,H0335,H0346,H0575	0.294
وَإذَا	G1487,G2532	0.692
وَإلَّا	G1161,G1487,G1893	0.333
وَإِذْ	G1161,G2532	0.338
وَإِلَى	G2532,H0413,H5704	0.326
وَإِلَّا	G1487,G1893,H0518	0.360
وَإِنَّمَا	G0235,G1161	0.625
وَإِنِ	G1437,G1487,G2532,H0518	0.421
وَإِنَّمَا	G1161	0.625
وَإِنْ	G1437,G1487,G2532,H0518	0.376
وَالآنَ	G1161,G2532,G3568,G3767	0.400
وَالرَّبِّ	G2532	1.000
وَالشُّيُوخُ	G2532,G3326	0.857
وَالَّذِي	G1161,G2532,G3739	0.455
وَالَّذِينَ	G2532	0.739
وَالْفَرِّيسِيُّونَ	G2532,G3588	0.900
وَالْكَتَبَةُ	G2532	0.889
وَبَعْدَ	G2532,G3326,H0310	0.261
وَبَعْدَمَا	G1161,G2532	0.442
وَبَعْدَهُ	H0310	0.947
وَبَعْدُ	G3588,H0310,H5750	0.615
وَبَيْنَ	H0996	0.809
وَبَيْنَكَ	H0996	1.000
وَبَيْنَكُمْ	G2532,H0996	0.833
وَبَيْنَمَا	G1161,G2532	0.253
وَبِمَاذَا	G5101,H4100	0.727
وَتَحْتَ	H8478	0.867
وَتَلامِيذُهُ	G2532,G3326	0.615
وَحَتَّى	G0891,H3588,H5704	0.700
وَحِينَئِذٍ	G5119	0.824
وَذَلِكَ	G2443,G2532	0.182
وَرَاءَ	H0310	0.772
وَرَاءَهَا	H0310	0.833
وَرَاءَهُ	G3694,H0310	0.702
وَرَاءَهُمْ	H0310	0.812
وَرَاءِ	H0310,H1157	0.889
وَرَائِهِ	G3693,G3694,H0310	0.688
وَرَائِي	G3694,H0310	0.478
وَعَلَى	G2532,H5921	0.540
وَعَنِ	G2532,H4480,H5921	0.333
وَعَنْ	G2532,H5921	0.311
وَعِنْدَئِذٍ	G2443,G2532,G5119	0.583
وَفِي	G2532	0.221
وَفِيمَا	G1161,G2532	0.348
وَفِيهِ	G1352,G1722,G2532,G3699,G3753,H8033	0.400
وَفْقاً	G2531,G2596	0.680
وَقَدِ	G2532	0.353
وَقَدْ	G2532	0.264
وَكَذلِكَ	G2532,G3668	0.500
وَكَذَا	H1571,H2063	0.333
وَكَذَلِكَ	G2532,G3668,G5615,H1571	0.333
وَكَمَا	G2531,G2532,G5613,H0834	0.314
وَكَيْفَ	G2532,G4459,G5613,H0834,H4100	0.316
وَكُلِّ	G2532,G3842	0.900
وَلا	G2532,G3366,G3761	0.369
وَلكِنَّ	G1161,G2532	0.653
وَلكِنَّكُمْ	G0235,G1161,G2532	0.286
وَلكِنَّهُ	G1161,G2532	0.596
وَلكِنَّهُمْ	G0235,G1161,G2532	0.550
وَلكِنِّي	G0235,G1161	0.455
وَلكِنْ	G0235,G1161	0.638
وَلَا	H3808	0.433
وَلَسْتُ	G2532,G3756,H3808	0.360
وَلَسْتُمْ	G2532,G3756	0.700
وَلَكِنَّ	G0235,G1161,G2532	0.577
وَلَكِنَّكُمْ	G0235,G1161,G2532	0.333
وَلَكِنَّنَا	G0235,G1161	0.583
وَلَكِنَّهُ	G0235,G1161,G2532	0.467
وَلَكِنَّهُمْ	G0235,G1161,G2532	0.667
وَلَكِنِ	G1161	0.585
وَلَكِنِّي	G0235,G1161,G2532	0.548
وَلَكِنَّ	G1161	0.617
وَلَكِنَّنِي	G1161	0.458
وَلَكِنَّهُ	G1161,H3808	0.371
وَلَكِنَّهُمْ	G1161,H3808	0.320
وَلَكِنِّي	G1161,H0589	0.387
وَلَكِنْ	G0235,G1161	0.517
وَلَمَّا	G1161,G2532	0.433
وَلَمْ	G2532,H3808	0.627
وَلَنْ	G2532,G3756,G3761,H3808	0.500
وَلَوْ	G1487,G2532,H0518	0.254
وَلَيْسَ	G2532,G3756,H0369,H3808	0.422
وَلِذَلِكَ	G1223,G1352,G2532,H3651	0.261
وَلِكَيْ	G2443,G2532,H4616	0.276
وَلِلْوَقْتِ	G2112	0.929
وَلِمَاذَا	G2532,G5101,H4100	0.459
وَلِهَذَا	G1223,G1519,G2532,H2088	0.267
وَمَا	G2532	0.375
وَمَاذَا	G5101,H4100	0.565
وَمَتَى	G1161,G3752	0.255
وَمَعَهُمْ	G2532,G3326,H5973	0.500
وَمَنْ	G2532,H4310	0.366
وَمَهْمَا	G2532,G3739,H0834	0.333
وَمِنَ	G2532,H4480	0.244
وَمِنْ	G2532	0.182
وَمِنْهُمْ	G1537,G1722,G2532,G3588,G3739,G5037	0.400
وَنَحْنُ	G2532,H0587	0.330
وَهكَذَا	G2532,G3767,G3779,G5620	0.400
وَهَؤُلَاءِ	H0428	0.816
وَهَذَا	G2532,G3778,H2088	0.413
وَهَذِهِ	H0428,H2063	0.431
وَهَكَذَا	G2532,G3779,H3541,H3651	0.323
وَهُمْ	G2532,H1992	0.226
وَهُنَاكَ	G2532,H8033	0.537
وَهُوَ	G2532,H1931	0.294
وَهِيَ	G2532,H1931	0.336
وَيُوحَنَّا	G2532	0.818
وَيْلٌ	G3759,H0188,H1945	0.381
وَٱلَّتِي	H0834	0.857
وَٱلَّذِي	G2532,G3588,H0834	0.279
وَٱلَّذِينَ	G2532,G3588,H0834	0.232
وَٱلْآنَ	G3568,H6258	0.834
يُوَافِقُ	G2596,G5613	0.692
ٱللَّذَانِ	H0834	0.762
ٱللَّذَيْنِ	H0834	0.773
ٱللَّوَاتِي	H0834	0.533
ٱلَّتِي	H0834	0.741
ٱلَّذِي	G3588,G3739,H0834	0.519
ٱلَّذِينَ	G3588,H0834	0.417
ٱلْآنَ	G3568,H6258	0.389
ٱلْحَالِ	G3916	0.947
